Timestamp,name,twitter,country,message,JP Translation
7/26/2021 2:26:21,Neriko,@neriko_official,Indonesia,I like Sora-san. Sora-san always has been so sweet. Sora-san singing is relaxing. Sora-san also has grown a lot. Sora-san has become more brave. I'm happy Sora-san can make many friends and memories.❤,"そらさん大好き！
そらさんはいつも優しい。
そらさんの歌はとても穏やかで。
そらさんは成長した。
そらさんは勇気があるようになった。
そらさんはたくさんの友達や思い出を作れて嬉しいです。❤"
8/3/2021 16:25:33,PhylumSync,@KineticPhylum,Canada,"Happy 4th anniversary, we're so proud of Sora-sama being here for us for this long! I'll try to continue supporting Sora-sama the best as I can! Can't wait to celebrate Ankino's anniversary next!","４周年おめでとうございます！
私たちはそら様と一緒にここにいることは誇ることです。私はいつもそら様を応援しています！
あん肝の記念日も待ち遠しい！"
8/3/2021 16:43:30,KentCas,@Kentcas_LoL,Philippines,Happy 4th anniversary Sora-chan! I really like your late night streams. They are always so comforting and calming. I love your singing! Especially the MVs where you dance. Alien Alien is my favorite!,"４周年おめでとうそらちゃん！
そらちゃんの深夜の生放送がとても穏やかで、本当に好きです！
そらちゃんの歌とMVとダンスも好きです！「エイリアンエイリアン」一番好きです。"
8/3/2021 16:51:41,NeoB,@annebianca_1,Philippines,こんにちはそらちゃん！！４記念おめでとう！！たくさんの人を幸せにしてくれてありがとう ね～。これからももっともっと頑張ります！。,
8/3/2021 17:14:10,Koji,,Philippines,"I've always looked up to people, whenever I wanted to follow my dream. Singing, you sing a lot, your voice breaks out and reaches our hearts. I wish one day, I'd be able to sing like that too.
",私は夢を追いかける人を尊敬しています。そらちゃんはいっぱいうたって、その声は私たちの心に届きます。私はいつかそのように歌うことができることを望んでいます。
8/3/2021 17:31:45,Trung M. Dang,@TrietMinhDang1,Australia,Happy Birthday Sora. I hope you reach 1.000.000 subscribers this year soon.,"アニバーサリーおめでとうそらちゃん！
今年は登録者１００万人を願っています！"
8/3/2021 18:15:54,Monkinator,@InarThe,Thailand,"Happy 4th anniversary! I would say you're one of the most dedicated worker in Hololive, not giving up on what you love and that is to entertain people and to give people the most enjoyable time.",４周年おめでとう！そらさんは諦めずに頑張ったり、ホロライブで努力したり、ファンに楽しい思い出をくれたりするとは素晴らしいです。
8/3/2021 18:17:50,LurKatWurK,@raf_wasnt_here,,"Congratulations on the 4th Anniversary, Tokino-san! It's still mind-blowing how your simple wish to be a virtual idol led to the growth of the big and wholesome Hololive family. Keep up the fire!",ときのさん、４周年おめでとう！「バーチュールアイドルになりたい」の小さいな願いからこんな大きいなホロライブファミリーができて、驚くしかないでしょう。いつものように頑張ってね！
8/3/2021 18:27:14,Yute,@RegularYute,United-States,I would like to thank you sora-chan for these three years it has been fun to watch and im looking forward to supporting you as we go forward into future.,そらちゃん、この三年間ありがとうございます！そらさんの配信を見ると元気を出せる。これからも応援しています！
8/3/2021 18:27:50,Shirogun,@Shirogun_,Malaysia,Congratulations Sora-chan on 4th Anniversary and Thank You for all the hard works along with incredible times during the time.Thank You again Sora-chan :D,そらちゃん、４周年おめでとう！いつも頑張ってくれてありがとう！最高の思い出をくれてありがとう、そらちゃん！:D
8/3/2021 18:40:13,Jun Kan,@Junkan14,Malaysia,"Hi Sora chan, congratulation for your 4th anniversary in Hololive. I always enjoy your stream. I wish you be happy and enjoy everyday.",そらちゃん、こんにちは！４周年おめでとう！そらちゃんの配信はいつも楽しみます！そらさんの毎日幸せになりますように。
8/3/2021 18:44:08,Huntgbunt,@huntgbunt,United-States,"Thank you for everything that you do, Sora! You make many people, myself included, very happy each and every day. Keep on being yourself! I will continue to make the most out of the time with you! 💙","いつもありがとうそらちゃん！
そらちゃんは多くの人々を毎日幸せにさせる。それを続けてください！
これからのそらを楽しみにしています！💙"
8/3/2021 18:44:20,ALOLA,@bmpkrs,Indonesia,"Thank you for everything sora. Even you're not my first vtuber, but discovering you, make me realize that you're the one who started all of this. You have my big respect and congrats for 4th anniv","いつもありがとうそらちゃん！
今気づいった、そらちゃんの協力がなければ、これは不可能になるだろう。尊敬します！
４周年おめでとうございました！"
8/3/2021 19:21:40,Cytus,,,Congratulations Sora-chan!,そらちゃんおめでとう！
8/3/2021 19:31:35,NanaKa,@NanaKachie_,Indonesia,"Sora-chan Congratulations on 4th Anniversary! It's already 4 years since your debut,I hope you always have a good day and thank you for being born, We love you Sora-chan!!",そらちゃん 4周年おめでとう！そらちゃんがデビューしてからもう4年が経ちました。いつも元気の日でいてほしいし、生まれてきてくれてありがとう。私たちは愛しているだぞ！
8/3/2021 19:43:46,Chi Hua,@zWasabi404,Vietnam,Thank you for your hard work! I hope you will have more free time to enjoy some games with other Gen members too. You seem really happy when you join them. Let's make another great year together!,この四年間お疲れ様でした！そらちゃんが自由時間が増えて、他のホロメンと一緒にゲームを楽しみたいことを願っています。ホロメンと一緒にゲームするときは本当に楽しそうですね。もう一度今年も一緒にいい年にしましょう。
8/3/2021 20:09:17,Oppen,@Oppen_heimer,United-States,Hi Sora chan!!! Your cheerful singing always makes my day! ,そらちゃん、こんにちは！そらちゃんの元気な歌は私たち笑顔にしてくれてありがとう！
8/3/2021 20:09:29,Jose Esparza,@Zero_Esparza,Mexico,"Felicidades por el cuarto aniversario de debut Sora-chan, siempre me ha encantado tu música y contenido, te deseo lo mejor y muchas gracias por estos geniales  4 años, saludos desde México ",そらちゃん、４周年おめでとう！私はそらちゃんの歌や配信が大好きです！この素敵な４年間をありがとう！そらのしあわせをねがっています！メキシコのファンから
8/3/2021 20:19:31,Gilbert Dante,@Gilbert81988195,United-States,Hey happy 4th anniversary you've come a long way so enjoy every single second of your anniversary! Also keep on being you and never ever change from a fellow kagai niki ,"やぁ！４周年おめでとう！長い道のりでしたね。
記念日をお楽しみくださいそらちゃん！そらちゃんはそらちゃんのままでいいです。
海外からへ"
8/3/2021 20:25:29,Jackson ,,United-States,Hi Sora-Chan. Congratulations  on your fourth anniversary. You bring such joy to fans like me.   Hololive wouldn't  be where it is without you. All of us Soratomos love you!,"やぁそらちゃん！４周年おめでとう！
そらちゃんは多くの人々を毎日幸せにさせる。
おかげさまで、ホロライブがいる。そらともはそらちゃんを大好きです！"
8/3/2021 20:37:45,Alpas,,United-States,"Keep shining brighter everyday, Sora! Even though I can’t catch you live, seeing your streams and listening to all your music makes my day better. Happy 4th Anniversary!!!","そらちゃんは明るい星のように輝いている。
そらちゃんの配信と歌はとても幸せな気分にする。
４周年おめでとうございます！"
8/3/2021 21:00:42,けい,@tsukasa_kei07,Philippines,"Happy 4th anniversary Sora-san, thank you for your hard work for this past years,  and thank for always making us smile and giving us inspiration,  We  wish you a happy anniversary .Thank you(^_^)","４周年おめでとうございますそらさん。
笑顔にしてくれてありがとう。
インスピレーションくれてありがとう。
いつもありがとう。
改めまして、おめでとうございます！(^_^)"
8/3/2021 21:11:37,リチャーズ＊キース,,United-States,「Pretender」のMVを初めて見た時から　そらちゃんの歌声が大好き！！　いつも頑張るから、ホロライブを作り上げるのから、本当にありがとうございます！！,
8/3/2021 21:29:46,asunatsu,,Malaysia,Tokino Sora best girl!,ときのそらは一番最高の推しです！
8/3/2021 22:04:32,ShinxSYX,@shinxusyix,Malaysia,"Congrats for 4yrs of anniversary, thanks for being the foundation of such wonderful family (Hololive),  looking forward to more stream, original/cover songs and more fun stuff!
XD",4周年おめでとうございます。このような素晴らしい家族（ホロライブ）の基盤であることに感謝しています。これからも、より多くのストリーム、オリジナルのカバーや曲、そしてより楽しいものを楽しみにしています。
8/3/2021 22:18:51,Mr Blobby,@Blobby132,United-Kingdom,"Hey from England, Sora! Since I found hololive, I've been firmly hooked onto your songs and personality. Thank you so much for changing the lives of me and so many others. Happy Anniversary!",イギリスからこんにちは、そらちゃん。ホロライブに出会ってから、あなたの歌と人柄にはまってしまいました。私や他の多くの人の人生を変えてくれて、本当にありがとう。アニバーサリーおめでとうございます！
8/3/2021 22:29:09,teyorya,@teyorya,Philippines,"life can be hard sometimes, but your streams are always relaxing. thank you",人生には時にはハードともありますが、あなたのストリームはいつもリラックスできます。ありがとうございます。
